boundary,external_id
"MULTIPOLYGON (((126.685768291354 -8.64079440597232, 126.685823947191 -8.64076656243841, 126.685883626342 -8.64074203360923, 126.685968786478 -8.64064789592565, 126.686029806733 -8.64066844711209, 126.686191745102 -8.6408978247945, 126.686246395111 -8.64094323625554, 126.686249412596 -8.64098997359294, 126.686266176403 -8.64102312063724, 126.686261147261 -8.64105626767861, 126.686386205256 -8.64116333260236, 126.686430126429 -8.64118985022583, 126.686471700668 -8.64118421523099, 126.686643362045 -8.64114874790865, 126.686692982912 -8.64102312063724, 126.68671116 -8.64101061, 126.686716452241 -8.64098036094955, 126.686749644578 -8.64094489360803, 126.686742603779 -8.6409177130263, 126.68672097 -8.64089515, 126.68670270592 -8.64087826803223, 126.686760038137 -8.64083749715167, 126.68705843389 -8.64077153449819, 126.687074862421 -8.64078413038266, 126.687119454145 -8.64080136685546, 126.687128171325 -8.64082191803355, 126.68713722378 -8.64090080802934, 126.687163040042 -8.64101151917207, 126.687195897102 -8.64107018943513, 126.687204614282 -8.64107582443165, 126.687213331461 -8.64108212236886, 126.687215007842 -8.64110399941308, 126.687216684222 -8.64112919115938, 126.687258258462 -8.64138707499189, 126.687317937613 -8.64152397212178, 126.687353476882 -8.6415667317478, 126.68735448271 -8.64200162007189, 126.687267646194 -8.64210934766612, 126.687259599566 -8.64225187951268, 126.68717236 -8.64230723, 126.68695737 -8.64225405, 126.68695043 -8.64225069, 126.6866016 -8.64208011, 126.686527356505 -8.64201023828056, 126.686519309878 -8.642004603298, 126.686394922435 -8.64190814564212, 126.686292998493 -8.64175566957219, 126.686113625765 -8.64136751825498, 126.686075739563 -8.64131846067321, 126.686050593853 -8.64128465071449, 126.686034165323 -8.64124454281835, 126.686024107039 -8.64123459871122, 126.68601245 -8.6412236, 126.68592192 -8.64117241, 126.685897707939 -8.64115736613682, 126.685889661312 -8.64112687086704, 126.685878932476 -8.64110499382415, 126.685872226954 -8.64109306089113, 126.68581874 -8.64099268, 126.685817576945 -8.64098036094955, 126.685793101788 -8.64094356772604, 126.685793101788 -8.64092202214304, 126.685794778168 -8.64087462185609, 126.68579884 -8.64085258, 126.68578709 -8.64083826, 126.685770973563 -8.64082954185739, 126.685767956078 -8.64079341156042, 126.685768291354 -8.64079440597232)))",12
"MULTIPOLYGON (((126.680491 -8.555454, 126.68047328318768 -8.555600664663414, 126.68047796934843 -8.55576395984651, 126.68046857365799 -8.555876987127203, 126.68040421008548 -8.556010491167086, 126.68023589998484 -8.556027206500596, 126.6801243 -8.5557255, 126.6801538 -8.5555567, 126.68020337820055 -8.555450981219973, 126.68026875704527 -8.555376383522098, 126.68037839233875 -8.555412190418908, 126.680491 -8.555454)))",13
"MULTIPOLYGON (((126.6540167 -8.624465, 126.6540501 -8.6244803, 126.6540688 -8.6245003, 126.654101 -8.6245274, 126.6541409 -8.6245698, 126.6541554 -8.6245877, 126.6541795 -8.6246179, 126.6541843 -8.6246269, 126.6541837 -8.6246397, 126.6541646 -8.6246641, 126.6541461 -8.6246714, 126.6541021 -8.6246849, 126.6540795 -8.6246841, 126.6540313 -8.6246953, 126.6539684 -8.6247131, 126.6539229 -8.6246751, 126.653916 -8.6246679, 126.6538885 -8.6246413, 126.6538638 -8.6246018, 126.6538637 -8.6245921, 126.6538864 -8.6245692, 126.6539407 -8.6245412, 126.6539818 -8.6244856, 126.6540167 -8.624465)))",14
"MULTIPOLYGON (((126.652290299535 -8.63880723431263, 126.652291975915 -8.63880856020214, 126.652185022831 -8.63888943945298, 126.65213747 -8.63891836, 126.65204491 -8.63902196, 126.651954352856 -8.63903230398894, 126.65183983 -8.6389823, 126.651786714792 -8.63894943593523, 126.651744805276 -8.63888413589609, 126.651714295149 -8.63880856020214, 126.651845388114 -8.63871143878374, 126.651958040893 -8.63864083514305, 126.65200497 -8.63862076, 126.652031466365 -8.63859376604192, 126.65209125 -8.63853162, 126.65209919 -8.63851792, 126.652165912092 -8.63847211559136, 126.65223826 -8.63845437, 126.65232927 -8.63841803, 126.652419380844 -8.63838294943238, 126.652520634234 -8.63837797734111, 126.65255818516 -8.63838228648687, 126.65260736 -8.63840765, 126.65267854929 -8.63843598506851, 126.652712747455 -8.63851156083712, 126.652691960335 -8.63857918124882, 126.652757003903 -8.63859906960291, 126.65275298059 -8.6386703361964, 126.65269945 -8.63871297, 126.652625575662 -8.63875220989417, 126.65252713 -8.63880502, 126.65249291 -8.6388173, 126.652290299535 -8.63880723431263)))",15
"MULTIPOLYGON (((126.6457685083151 -8.613913169513808, 126.64576951414345 -8.61396455111528, 126.64576113224031 -8.61398775570721, 126.64574906229973 -8.61399571156697, 126.6455116868019 -8.614063336368195, 126.64538964629173 -8.614058363956751, 126.64535779505968 -8.614043115227927, 126.6452179849148 -8.613683775440128, 126.64516534656286 -8.613534602918723, 126.64513953030108 -8.61351106680441, 126.64512611925602 -8.613494823569736, 126.64495345205069 -8.61342222624707, 126.64470568299294 -8.613155704449854, 126.64468858391048 -8.613117251040718, 126.64469160139559 -8.612948520087205, 126.64470199495554 -8.612924320946245, 126.64476737380026 -8.612869955747211, 126.6448622569442 -8.612840784173779, 126.6449071839452 -8.612845756601226, 126.64547748863697 -8.613353275352361, 126.64549056440593 -8.613371507561308, 126.64572156965733 -8.61380112444895, 126.6457685083151 -8.613913169513808)))",17
"MULTIPOLYGON (((126.69366136193275 -8.635462000256776, 126.69362044 -8.63544041, 126.69360032 -8.6354449, 126.69357936 -8.63542608, 126.69358538 -8.63539305, 126.69359253 -8.63537269, 126.69358825 -8.63533272, 126.69359143 -8.63531282, 126.69358194 -8.63527313, 126.69357849 -8.6352626, 126.69357846 -8.63525098, 126.69358099 -8.63523931, 126.69358531 -8.63523014, 126.69359906 -8.63521748, 126.69360928 -8.63519079, 126.69361021 -8.63517409, 126.69361224 -8.63516618, 126.69362568 -8.63515666, 126.69364006 -8.63515081, 126.69365491 -8.63514041, 126.69366684 -8.63512559, 126.69367001 -8.63511729, 126.69366435 -8.63509048, 126.6936693 -8.63507252, 126.69367693 -8.63505625, 126.69367231 -8.63504064, 126.69367089 -8.63502105, 126.69367345 -8.63499204, 126.69368002 -8.63497253, 126.69368472 -8.63495202, 126.69368133 -8.63493909, 126.69367582 -8.63492806, 126.693673 -8.63491553, 126.69367231 -8.63490311, 126.69367956 -8.63486045, 126.69369262 -8.63484283, 126.69370335 -8.63483129, 126.69370153 -8.63481775, 126.69369798 -8.63480807, 126.69369951 -8.63479855, 126.69371079 -8.63479092, 126.69371598 -8.63478392, 126.69371633 -8.63476821, 126.69373196 -8.63476965, 126.69374168 -8.63476089, 126.69375219 -8.63475523, 126.69376525 -8.6347576, 126.69377589 -8.63475269, 126.69377826 -8.63474687, 126.69377306 -8.63473088, 126.69377216 -8.63472337, 126.69377635 -8.63471642, 126.69377839 -8.63469879, 126.69378622 -8.63466768, 126.69378658 -8.63465812, 126.69377813 -8.63464483, 126.69376692 -8.634633, 126.69375277 -8.63462417, 126.69375241 -8.63460988, 126.69374448 -8.63459247, 126.69374866 -8.63456687, 126.69374458 -8.63455051, 126.69374384 -8.634534, 126.69373817 -8.63451857, 126.69373062 -8.63450492, 126.69373335 -8.63449277, 126.69372978 -8.63448173, 126.69372408 -8.63446764, 126.69373775 -8.63445152, 126.69374519 -8.63444499, 126.69375681 -8.63444094, 126.69378822 -8.63444058, 126.69379731 -8.63443959, 126.69382646 -8.63444773, 126.69385066 -8.63445156, 126.69387347 -8.63446609, 126.69388611 -8.63448186, 126.69390428 -8.6345099, 126.69390999 -8.63451553, 126.69391971 -8.63455469, 126.69392157 -8.63456612, 126.69393212 -8.6345816, 126.69394662 -8.63458485, 126.69396862 -8.63458336, 126.69398219 -8.63457972, 126.69399769 -8.63458227, 126.69401163 -8.63459424, 126.69402759 -8.6345946, 126.69404195 -8.63458887, 126.69404975 -8.63459074, 126.69405767 -8.63460413, 126.69406507 -8.63460738, 126.69407415 -8.63460735, 126.69408042 -8.63461071, 126.69409097 -8.63462574, 126.69409659 -8.63464087, 126.69410257 -8.63466553, 126.69411046 -8.63468346, 126.69412399 -8.63469629, 126.69415949 -8.63469863, 126.69416917 -8.63470146, 126.69417707 -8.63470638, 126.69419196 -8.63472071, 126.69421832 -8.63473558, 126.69423586 -8.63474111, 126.69425455 -8.63474387, 126.69427228 -8.63475443, 126.6942831 -8.63476804, 126.69428424 -8.63478958, 126.69428725 -8.63480224, 126.69429181 -8.63481181, 126.69430639 -8.63482854, 126.69431255 -8.63484896, 126.69431745 -8.63485498, 126.69430911 -8.63488313, 126.69430962 -8.63489417, 126.69432062 -8.63492029, 126.69432541 -8.63492865, 126.69434496 -8.63494848, 126.69435389 -8.63495358, 126.69436792 -8.63496873, 126.69437398 -8.63497769, 126.694383 -8.63498487, 126.69442617 -8.63499944, 126.69443497 -8.63500551, 126.69446636 -8.63503839, 126.6944838 -8.63504735, 126.69449154 -8.6350554, 126.69450209 -8.63508364, 126.69450373 -8.63509408, 126.69451356 -8.63510786, 126.69452153 -8.63512209, 126.69453627 -8.63513314, 126.69454526 -8.63514785, 126.69455476 -8.63517492, 126.69455742 -8.63519417, 126.69455165 -8.63523862, 126.69455471 -8.63526129, 126.69454608 -8.63531784, 126.69454055 -8.63535105, 126.69453721 -8.63536229, 126.69453949 -8.63537396, 126.69454446 -8.63538513, 126.6945454 -8.63539804, 126.69453761 -8.63541983, 126.69452675 -8.63543949, 126.69450688 -8.6354641, 126.69449607 -8.63548508, 126.69448815 -8.63549112, 126.69446406 -8.63549337, 126.69445307 -8.63549317, 126.69443173 -8.63549836, 126.69442054 -8.63550322, 126.69440867 -8.63550467, 126.69439778 -8.63550807, 126.69437778 -8.63551995, 126.69436477124691 -8.63552133433367, 126.69434389 -8.63553023, 126.69432272 -8.63554105, 126.69430378 -8.63555518, 126.69429572 -8.63556305, 126.69427634 -8.63557356, 126.69426543 -8.63557606, 126.69425293 -8.63557133, 126.69424453 -8.63556432, 126.69423421 -8.63555992, 126.69422395527363 -8.635530615640944, 126.69421335 -8.63549252, 126.69420898 -8.63548312, 126.6941939 -8.63546501, 126.69418592 -8.63545861, 126.69416665 -8.63545441, 126.69413826 -8.63543209, 126.69411987 -8.63542809, 126.69410765 -8.63542682, 126.69408325 -8.63542907, 126.69405988 -8.63542946, 126.6940102 -8.63542646, 126.69397586 -8.63541814, 126.69393869 -8.63540935, 126.69391521 -8.63540332, 126.69389058 -8.63540107, 126.69384491 -8.63539237, 126.69380058 -8.63540061, 126.69378886 -8.63540141, 126.69376674 -8.63539808, 126.69374412 -8.63540195, 126.69373133 -8.63540531, 126.69370602 -8.63541823, 126.69366136193275 -8.635462000256776)))",18
"MULTIPOLYGON (((126.64607360959053 -8.614553615815447, 126.64600856602192 -8.614633505780098, 126.64599012583494 -8.61465173792734, 126.64596900343895 -8.614660688253842, 126.64594687521456 -8.614661351240988, 126.64593312889336 -8.614652732408079, 126.64589658379553 -8.61463251129931, 126.6457936540246 -8.614518808979097, 126.64574436843395 -8.614478366746168, 126.6457239165902 -8.61445284172808, 126.64568409378882 -8.6144054687554, 126.64560792413504 -8.614288319280401, 126.64555009162012 -8.61420045715034, 126.64565870390422 -8.614153039484364, 126.64584428071977 -8.614077922108054, 126.64587814360858 -8.61407427567314, 126.64590429514647 -8.614088861412581, 126.64596665650606 -8.61414819884674, 126.64599314332008 -8.614182342729215, 126.64603404700756 -8.61423538176385, 126.64609540253878 -8.61428411137037, 126.64612088352442 -8.614322233167, 126.64613328874113 -8.614347095206215, 126.64613798260687 -8.614404443637095, 126.64612591266634 -8.614463449528008, 126.64609842002392 -8.614504223256233, 126.64607360959053 -8.614553615815447)))",19
"MULTIPOLYGON (((126.64645582437515 -8.61372620672435, 126.64643604308365 -8.613711289476534, 126.6462717577815 -8.613464657560641, 126.64624761790039 -8.613393717705591, 126.64620671421288 -8.613296589751632, 126.6463592648506 -8.613179903576004, 126.64645884186031 -8.613130510837408, 126.6465262323618 -8.613105980213161, 126.64654668420552 -8.613105980213161, 126.6465725004673 -8.613140455684619, 126.64661005139351 -8.613213384556216, 126.64669051766396 -8.613327418763609, 126.64670292288066 -8.613353938341797, 126.64671398699282 -8.61339603816834, 126.6467220336199 -8.613456038700456, 126.64670225232838 -8.613560790987847, 126.64647359400986 -8.61372355476923, 126.64645582437515 -8.61372620672435)))",20
"MULTIPOLYGON (((125.06469606553703 -9.31032635689428, 125.0645656636115 -9.309836774297954, 125.06418055119116 -9.30988321621741, 125.06423784511588 -9.310211772985339, 125.06437464126208 -9.310583541283998, 125.06434456886427 -9.311008574815931, 125.0646652357845 -9.311231714800778, 125.06471950993999 -9.311382476343727, 125.06479187548061 -9.311430720037471, 125.0651235508751 -9.31144278096091, 125.06517582580449 -9.311325637794809, 125.06474363178685 -9.310743247401616, 125.06469606553703 -9.31032635689428)))",22
"MULTIPOLYGON (((125.06473320723353 -9.309802872496997, 125.06489119608591 -9.309802872496997, 125.06498598939733 -9.309834470267472, 125.06502390672189 -9.3099229440248, 125.06511870003331 -9.309979820011657, 125.06517557602017 -9.31015676752632, 125.0652640497775 -9.310321075932793, 125.0654030799676 -9.310548579880212, 125.0655231514954 -9.310763444719445, 125.06559266659043 -9.31084559892268, 125.06548132516417 -9.310891230483612, 125.06540594655915 -9.310946151967144, 125.06531115324773 -9.311042861168383, 125.0651925150157 -9.311307799846343, 125.06476531548107 -9.310744643937184, 125.06472160759337 -9.310326507868213, 125.06458785748931 -9.309834470267472, 125.06473320723353 -9.309802872496997)))",23
