external_id,boundary
11,"MULTIPOLYGON (((126.68576829135397 -8.640794405972313, 126.685823947191 -8.64076656243841, 126.68588362634199 -8.64074203360923, 126.68596878647801 -8.640647895925644, 126.68602980673299 -8.640668447112088, 126.686191745102 -8.6408978247945, 126.686246395111 -8.640943236255536, 126.68624941259598 -8.640989973592943, 126.68626617640301 -8.641023120637238, 126.68626114726099 -8.641056267678616, 126.686386205256 -8.641163332602357, 126.686430126429 -8.641189850225832, 126.686471700668 -8.64118421523099, 126.686643362045 -8.641148747908648, 126.686692982912 -8.641023120637243, 126.68671116 -8.641010609999999, 126.68671645224101 -8.640980360949552, 126.68674964457801 -8.640944893608033, 126.686742603779 -8.640917713026301, 126.68672097000001 -8.640895150000008, 126.68670270592001 -8.640878268032228, 126.68676003813701 -8.64083749715168, 126.68705843388997 -8.640771534498187, 126.687074862421 -8.64078413038265, 126.687119454145 -8.640801366855463, 126.687128171325 -8.640821918033541, 126.68713722378 -8.640900808029336, 126.687163040042 -8.641011519172066, 126.687195897102 -8.641070189435121, 126.687204614282 -8.641075824431654, 126.687213331461 -8.641082122368863, 126.68721500784198 -8.641103999413076, 126.68721668422201 -8.641129191159381, 126.68725825846198 -8.641387074991895, 126.687317937613 -8.641523972121783, 126.68735347688198 -8.641566731747803, 126.68735448271002 -8.642001620071893, 126.687267646194 -8.642109347666114, 126.68725959956602 -8.642251879512674, 126.68717235999998 -8.642307229999998, 126.68695736999999 -8.642254049999995, 126.68695043000001 -8.642250689999994, 126.68660160000002 -8.642080110000006, 126.68652735650501 -8.642010238280552, 126.686519309878 -8.642004603298007, 126.68639492243497 -8.641908145642113, 126.686292998493 -8.64175566957219, 126.68611362576497 -8.641367518254976, 126.686075739563 -8.641318460673215, 126.68605059385301 -8.641284650714491, 126.68603416532297 -8.641244542818347, 126.68602410703899 -8.64123459871122, 126.68601245 -8.64122359999999, 126.68592192000001 -8.641172409999989, 126.68589770793899 -8.641157366136818, 126.685889661312 -8.641126870867042, 126.685878932476 -8.641104993824142, 126.68587222695398 -8.641093060891134, 126.68581874 -8.640992679999995, 126.685817576945 -8.64098036094955, 126.68579310178797 -8.64094356772604, 126.68579310178797 -8.640922022143037, 126.68579477816799 -8.640874621856087, 126.68579883999998 -8.640852580000002, 126.68578708999999 -8.64083826, 126.68577097356301 -8.640829541857386, 126.68576795607801 -8.640793411560425, 126.68576829135397 -8.640794405972313)))"
12,"MULTIPOLYGON (((126.68049099999999 -8.555453999999994, 126.68047328318768 -8.555600664663405, 126.6804779693484 -8.555763959846514, 126.680468573658 -8.555876987127208, 126.68040421008548 -8.556010491167083, 126.68023589998481 -8.5560272065006, 126.6801243 -8.555725499999989, 126.68015380000001 -8.5555567, 126.68020337820055 -8.555450981219977, 126.68026875704527 -8.555376383522091, 126.68037839233875 -8.555412190418915, 126.68049099999999 -8.555453999999994)))"
13,"MULTIPOLYGON (((126.6540167 -8.624464999999995, 126.65405010000002 -8.624480300000002, 126.65406879999999 -8.624500299999989, 126.654101 -8.624527400000007, 126.6541409 -8.624569799999996, 126.6541554 -8.624587699999996, 126.65417949999998 -8.624617899999992, 126.65418430000001 -8.624626899999997, 126.65418369999999 -8.624639700000003, 126.65416459999997 -8.624664099999999, 126.65414610000002 -8.624671400000004, 126.65410209999999 -8.624684899999995, 126.6540795 -8.624684099999994, 126.65403130000001 -8.624695299999999, 126.6539684 -8.6247131, 126.65392289999998 -8.62467509999999, 126.653916 -8.624667900000007, 126.65388849999998 -8.624641300000004, 126.65386379999997 -8.624601799999992, 126.6538637 -8.624592100000001, 126.65388639999998 -8.6245692, 126.6539407 -8.624541199999998, 126.65398179999998 -8.624485600000005, 126.6540167 -8.624464999999995)))"
14,"MULTIPOLYGON (((126.652290299535 -8.638807234312624, 126.65229197591498 -8.638808560202143, 126.652185022831 -8.638889439452974, 126.65213746999997 -8.638918359999991, 126.65204491 -8.639021960000003, 126.65195435285598 -8.639032303988941, 126.65183983 -8.638982300000002, 126.65178671479201 -8.638949435935226, 126.651744805276 -8.63888413589609, 126.651714295149 -8.638808560202133, 126.65184538811401 -8.638711438783739, 126.65195804089299 -8.63864083514305, 126.65200497 -8.638620760000007, 126.65203146636502 -8.638593766041915, 126.65209125 -8.638531619999995, 126.65209919000002 -8.638517920000007, 126.65216591209202 -8.63847211559136, 126.65223826000002 -8.638454369999998, 126.65232927 -8.638418029999995, 126.652419380844 -8.638382949432383, 126.65252063423401 -8.638377977341118, 126.65255818515999 -8.638382286486872, 126.65260736 -8.638407649999992, 126.65267854928997 -8.63843598506851, 126.652712747455 -8.638511560837113, 126.65269196033499 -8.63857918124883, 126.65275700390302 -8.638599069602908, 126.65275298058997 -8.6386703361964, 126.65269944999999 -8.638712970000006, 126.65262557566201 -8.63875220989417, 126.65252712999998 -8.638805020000007, 126.65249291000002 -8.638817300000003, 126.652290299535 -8.638807234312624)))"
15,"MULTIPOLYGON (((126.73558127135038 -8.657703006319801, 126.73557925969362 -8.657644338647541, 126.7355665192008 -8.657570092540675, 126.73557490110394 -8.657517722510077, 126.7356077581644 -8.657489548756422, 126.73564765602349 -8.657499160978496, 126.73569560050964 -8.657516728142333, 126.73572912812232 -8.657526008907807, 126.73575695604086 -8.657540261511478, 126.73580020666121 -8.65756445779091, 126.73584049422196 -8.657583131616798, 126.73587641503866 -8.65758232453679, 126.73591051250696 -8.657607547051771, 126.73594705760479 -8.657626440033825, 126.73598460853097 -8.657639698266292, 126.73599533736706 -8.657657928335155, 126.7360060662031 -8.657674169668475, 126.73600740730762 -8.657704332142806, 126.73601813614366 -8.657735157526163, 126.73601511865856 -8.657776589489082, 126.73598293215036 -8.657880003648568, 126.73597622662783 -8.65792242996218, 126.73597756773235 -8.657948946405767, 126.73595812171695 -8.658015568962036, 126.73592258244751 -8.658063961458184, 126.73588939011097 -8.658081860051077, 126.73585720360279 -8.65809810136612, 126.73582870513196 -8.65811434268045, 126.73579316586255 -8.658161740797857, 126.73574287444352 -8.658169032815401, 126.73568185418844 -8.658157100422995, 126.73559535294773 -8.658043411220847, 126.7355839535594 -8.657830948217464, 126.73558361828326 -8.657783218602708, 126.73558127135038 -8.657703006319801)))"
16,"MULTIPOLYGON (((126.64576850831507 -8.613913169513802, 126.64576951414345 -8.613964551115286, 126.64576113224031 -8.613987755707203, 126.64574906229973 -8.613995711566975, 126.64551168680187 -8.614063336368197, 126.6453896462917 -8.614058363956755, 126.64535779505968 -8.614043115227926, 126.64521798491477 -8.613683775440139, 126.64516534656286 -8.613534602918723, 126.64513953030108 -8.613511066804406, 126.64512611925602 -8.61349482356973, 126.64495345205066 -8.613422226247074, 126.64470568299294 -8.613155704449847, 126.64468858391048 -8.613117251040716, 126.64469160139559 -8.612948520087206, 126.64470199495551 -8.612924320946247, 126.64476737380024 -8.61286995574722, 126.6448622569442 -8.612840784173772, 126.6449071839452 -8.612845756601223, 126.64547748863696 -8.613353275352356, 126.64549056440593 -8.61337150756131, 126.64572156965733 -8.613801124448957, 126.64576850831507 -8.613913169513802)))"
17,"MULTIPOLYGON (((126.69366136193275 -8.635462000256785, 126.69362044000002 -8.635440409999994, 126.69360032 -8.635444899999998, 126.69357935999997 -8.635426079999997, 126.69358537999999 -8.635393050000001, 126.69359253000002 -8.635372689999999, 126.69358825000002 -8.635332719999997, 126.69359142999998 -8.63531281999999, 126.69358194 -8.635273129999998, 126.69357849000001 -8.635262600000004, 126.69357846 -8.635250979999999, 126.69358099 -8.63523931, 126.69358531 -8.635230139999997, 126.69359906000001 -8.635217480000009, 126.69360927999998 -8.635190790000005, 126.69361021 -8.635174089999996, 126.69361224 -8.635166180000002, 126.69362568000001 -8.635156659999994, 126.69364006000002 -8.63515081, 126.69365491 -8.635140409999991, 126.69366684 -8.635125590000005, 126.69367001 -8.635117290000007, 126.69366434999998 -8.635090479999999, 126.69366930000001 -8.635072520000001, 126.69367693000001 -8.63505624999999, 126.69367231000001 -8.635040639999998, 126.69367088999998 -8.635021049999997, 126.69367344999999 -8.634992040000006, 126.69368001999997 -8.634972529999999, 126.69368472 -8.634952020000004, 126.69368133 -8.634939090000001, 126.69367582000001 -8.634928059999998, 126.693673 -8.634915529999995, 126.69367231000001 -8.634903109999993, 126.69367956 -8.634860450000001, 126.69369261999998 -8.634842829999993, 126.69370335 -8.634831289999996, 126.69370153000001 -8.634817749999995, 126.69369798000001 -8.634808070000002, 126.69369951000002 -8.634798550000001, 126.69371079000001 -8.634790919999993, 126.69371598000001 -8.634783919999997, 126.69371633 -8.63476821000001, 126.69373195999998 -8.634769649999994, 126.69374167999999 -8.634760889999999, 126.69375219000001 -8.634755229999993, 126.69376524999998 -8.634757600000002, 126.69377589000001 -8.634752689999994, 126.69377825999997 -8.634746869999999, 126.69377306000001 -8.634730879999994, 126.69377216000001 -8.634723370000003, 126.69377635 -8.634716419999991, 126.69377838999998 -8.634698789999993, 126.69378622 -8.634667680000002, 126.69378658 -8.634658120000001, 126.69377812999997 -8.634644830000001, 126.69376692 -8.634632999999996, 126.69375277 -8.63462417, 126.69375240999997 -8.634609879999994, 126.69374448 -8.634592469999996, 126.69374866 -8.63456686999999, 126.69374458 -8.634550510000004, 126.69374384000001 -8.634534, 126.69373817000002 -8.634518570000001, 126.69373062 -8.634504920000008, 126.69373335 -8.634492770000007, 126.69372978000001 -8.634481730000006, 126.69372408000001 -8.634467639999997, 126.69373775000001 -8.634451519999992, 126.69374519 -8.634444990000006, 126.69375681 -8.634440940000005, 126.69378821999999 -8.634440580000005, 126.69379730999997 -8.63443958999999, 126.69382646000001 -8.634447730000002, 126.69385066 -8.634451559999997, 126.69387347000001 -8.634466089999997, 126.69388611 -8.63448186, 126.69390428 -8.634509899999992, 126.69390998999998 -8.634515529999994, 126.69391970999999 -8.634554689999996, 126.69392156999999 -8.63456611999999, 126.69393212 -8.634581599999992, 126.69394662000002 -8.634584850000005, 126.69396861999999 -8.634583360000006, 126.69398219 -8.634579719999993, 126.69399768999997 -8.634582269999997, 126.69401163 -8.634594239999997, 126.69402758999999 -8.634594599999998, 126.69404195000001 -8.634588870000005, 126.69404974999998 -8.634590740000007, 126.69405766999999 -8.634604129999996, 126.69406507 -8.634607380000002, 126.69407415 -8.63460734999999, 126.69408041999999 -8.634610709999997, 126.69409097000002 -8.634625740000002, 126.69409658999999 -8.634640869999997, 126.69410257 -8.634665529999992, 126.69411045999999 -8.63468345999999, 126.69412399000001 -8.634696290000004, 126.69415949 -8.634698630000004, 126.69416916999997 -8.634701459999992, 126.69417707 -8.63470638, 126.69419195999998 -8.634720709999993, 126.69421831999998 -8.634735579999992, 126.69423585999999 -8.634741110000007, 126.69425455 -8.634743870000008, 126.69427227999998 -8.634754430000006, 126.69428310000002 -8.634768039999996, 126.69428423999997 -8.634789580000001, 126.69428724999999 -8.63480224, 126.69429181000001 -8.634811810000006, 126.69430638999998 -8.634828539999994, 126.69431254999998 -8.634848959999992, 126.69431744999997 -8.63485498, 126.69430910999999 -8.634883130000004, 126.69430962 -8.634894169999997, 126.69432061999997 -8.634920289999998, 126.69432540999999 -8.634928650000006, 126.69434496000001 -8.634948479999998, 126.69435389 -8.63495358, 126.69436791999999 -8.634968729999995, 126.69437397999998 -8.63497768999999, 126.69438300000002 -8.63498486999999, 126.69442617000001 -8.634999439999987, 126.69443497 -8.635005509999994, 126.69446636000002 -8.635038390000002, 126.69448379999999 -8.635047350000008, 126.69449154 -8.635055399999995, 126.69450209 -8.635083640000005, 126.69450373 -8.635094079999996, 126.69451356 -8.635107859999993, 126.69452152999997 -8.635122089999994, 126.69453627000001 -8.635133139999994, 126.69454526 -8.635147850000001, 126.69455476 -8.635174920000006, 126.69455741999997 -8.635194170000002, 126.69455165 -8.635238619999994, 126.69455470999998 -8.635261289999997, 126.69454608 -8.635317839999992, 126.69454055000001 -8.635351050000006, 126.69453721 -8.635362289999994, 126.69453948999998 -8.635373960000004, 126.69454445999997 -8.63538513, 126.69454540000001 -8.635398039999991, 126.69453760999998 -8.635419829999998, 126.69452675 -8.635439489999996, 126.69450688 -8.6354641, 126.69449606999999 -8.635485079999999, 126.69448814999997 -8.63549112, 126.69446405999999 -8.635493369999992, 126.69445307 -8.635493170000002, 126.69443173000002 -8.635498360000001, 126.69442053999997 -8.63550322000001, 126.69440867 -8.63550466999999, 126.69439778 -8.63550806999999, 126.69437778000001 -8.635519950000011, 126.69436477124691 -8.635521334333662, 126.69434388999998 -8.635530229999999, 126.69432271999997 -8.635541049999993, 126.69430378 -8.635555179999994, 126.69429571999997 -8.635563049999995, 126.69427633999997 -8.635573559999987, 126.69426543 -8.635576059999998, 126.69425293000002 -8.635571329999994, 126.69424453000002 -8.63556431999999, 126.69423420999999 -8.635559919999995, 126.69422395527363 -8.63553061564095, 126.69421335 -8.635492519999993, 126.69420898 -8.635483120000005, 126.6941939 -8.63546501, 126.69418591999997 -8.635458610000006, 126.69416665 -8.63545441, 126.69413826 -8.635432089999998, 126.69411987000001 -8.635428090000003, 126.69410764999998 -8.635426819999998, 126.69408325000002 -8.635429069999995, 126.69405988 -8.635429460000001, 126.69401020000001 -8.635426459999993, 126.69397586 -8.63541814, 126.69393869 -8.635409350000002, 126.69391521000001 -8.635403319999995, 126.69389057999999 -8.635401069999999, 126.69384491 -8.635392369999996, 126.69380057999999 -8.635400609999989, 126.69378886 -8.635401409999998, 126.69376673999997 -8.63539808000001, 126.69374412000002 -8.635401949999993, 126.69373133 -8.635405310000003, 126.69370602 -8.63541822999999, 126.69366136193275 -8.635462000256785)))"
18,"MULTIPOLYGON (((126.64607360959053 -8.61455361581545, 126.64600856602192 -8.614633505780091, 126.64599012583494 -8.614651737927343, 126.64596900343895 -8.614660688253851, 126.64594687521456 -8.614661351240992, 126.64593312889336 -8.614652732408079, 126.64589658379553 -8.614632511299305, 126.6457936540246 -8.614518808979094, 126.64574436843395 -8.614478366746159, 126.6457239165902 -8.61445284172808, 126.64568409378883 -8.614405468755407, 126.64560792413504 -8.614288319280401, 126.64555009162012 -8.614200457150341, 126.64565870390422 -8.614153039484362, 126.64584428071977 -8.61407792210805, 126.64587814360858 -8.614074275673138, 126.64590429514644 -8.614088861412583, 126.64596665650603 -8.614148198846745, 126.64599314332006 -8.61418234272921, 126.64603404700756 -8.61423538176384, 126.64609540253878 -8.614284111370377, 126.64612088352442 -8.614322233167007, 126.64613328874113 -8.61434709520622, 126.64613798260687 -8.614404443637087, 126.64612591266634 -8.614463449528008, 126.6460984200239 -8.614504223256235, 126.64607360959053 -8.61455361581545)))"
19,"MULTIPOLYGON (((126.64645582437515 -8.613726206724348, 126.64643604308363 -8.613711289476528, 126.6462717577815 -8.613464657560636, 126.64624761790039 -8.613393717705593, 126.64620671421288 -8.613296589751622, 126.6463592648506 -8.613179903575995, 126.64645884186031 -8.61313051083741, 126.6465262323618 -8.613105980213152, 126.64654668420549 -8.613105980213149, 126.6465725004673 -8.613140455684624, 126.64661005139351 -8.613213384556216, 126.64669051766396 -8.613327418763602, 126.64670292288066 -8.613353938341792, 126.6467139869928 -8.613396038168336, 126.6467220336199 -8.613456038700454, 126.64670225232838 -8.613560790987846, 126.64647359400986 -8.613723554769225, 126.64645582437515 -8.613726206724348)))"
20,"MULTIPOLYGON (((126.64208382368086 -8.592537818359368, 126.64214786142108 -8.592346535346651, 126.64207175374032 -8.592145638352463, 126.64170295000076 -8.591963637518317, 126.64105921983719 -8.592057455809844, 126.64087012410165 -8.592136355980518, 126.64103306829925 -8.592320014297407, 126.64165802299976 -8.592527209945233, 126.64208382368086 -8.592537818359368)))"
21,"MULTIPOLYGON (((125.06469606553703 -9.31032635689427, 125.0645656636115 -9.309836774297953, 125.06418055119114 -9.30988321621741, 125.06423784511587 -9.310211772985339, 125.06437464126206 -9.310583541283998, 125.06434456886427 -9.311008574815933, 125.0646652357845 -9.31123171480078, 125.06471950994 -9.311382476343725, 125.0647918754806 -9.31143072003746, 125.06512355087511 -9.31144278096091, 125.0651758258045 -9.311325637794809, 125.06474363178687 -9.31074324740162, 125.06469606553703 -9.31032635689427)))"
22,"MULTIPOLYGON (((125.06473320723354 -9.30980287249699, 125.06489119608591 -9.309802872497, 125.06498598939733 -9.309834470267473, 125.06502390672189 -9.309922944024809, 125.06511870003331 -9.309979820011662, 125.06517557602017 -9.310156767526314, 125.06526404977747 -9.310321075932801, 125.0654030799676 -9.310548579880209, 125.06552315149541 -9.310763444719447, 125.06559266659043 -9.310845598922684, 125.06548132516416 -9.310891230483612, 125.06540594655915 -9.310946151967142, 125.06531115324773 -9.311042861168387, 125.06519251501567 -9.311307799846348, 125.06476531548107 -9.310744643937184, 125.06472160759337 -9.310326507868211, 125.06458785748933 -9.309834470267473, 125.06473320723354 -9.30980287249699)))"
23,"MULTIPOLYGON (((125.06345864622698 -9.317828340871518, 125.06370650482911 -9.317927861565641, 125.06404935703367 -9.31813158095745, 125.06435387400515 -9.31823642969638, 125.06471682536089 -9.318327720357027, 125.06482312509411 -9.31810907894699, 125.06480610204036 -9.317783574816842, 125.06465089803878 -9.317711820320543, 125.0644668018657 -9.317542083178829, 125.06424816045566 -9.317435783445571, 125.06395009750268 -9.317464913583317, 125.06366502964119 -9.317457159482334, 125.06346897729598 -9.317819785817456, 125.06345864622698 -9.317828340871518)))"
24,"MULTIPOLYGON (((125.06349203748721 -9.318305348140196, 125.06350615304234 -9.318205829339949, 125.06337034460935 -9.318058201358056, 125.06348637499325 -9.317863345548274, 125.06381860853969 -9.31805272240138, 125.06402691888067 -9.318167577188715, 125.0642765534978 -9.318248211759723, 125.06452796412985 -9.318309960207623, 125.06469349920043 -9.31837315964984, 125.06457242836082 -9.318647571421732, 125.06451612136615 -9.319104815222317, 125.06426572329939 -9.318971212482545, 125.06396209433535 -9.318856920682071, 125.0636661212721 -9.318615723015185, 125.06349203748721 -9.318305348140196)))"
25,"MULTIPOLYGON (((125.07041545026625 -9.315035787890807, 125.07010833067858 -9.31523814021442, 125.0697295942613 -9.315077514836021, 125.06971694099802 -9.314403638674023, 125.07007941810481 -9.31438427939265, 125.0704647751592 -9.314563197470944, 125.07041545026625 -9.315035787890807)))"
26,"MULTIPOLYGON (((125.20655745747254 -9.363568170761877, 125.20702732000001 -9.364056543333326, 125.20713928617566 -9.36397358774724, 125.20730818470274 -9.363802892216574, 125.20737255578861 -9.363707109969644, 125.20745284609586 -9.363628586723733, 125.20743787596925 -9.363563225231573, 125.20744766629217 -9.363460127080701, 125.20739852816007 -9.363375630299902, 125.20731213486039 -9.3633401751652, 125.20728235694968 -9.363291508714463, 125.20723068771369 -9.363316489849783, 125.20705962073298 -9.363277291237047, 125.20688438443064 -9.363320791760147, 125.20676866702729 -9.363391339119403, 125.20655745747254 -9.363568170761877)))"
27,"MULTIPOLYGON (((125.2111903281922 -9.370652755761139, 125.21156724599592 -9.370319190129036, 125.2117407553516 -9.370470007404261, 125.21151436983668 -9.370832317833086, 125.21140198666666 -9.370959653333333, 125.2111903281922 -9.370652755761139)))"
28,"MULTIPOLYGON (((125.2138467233546 -9.37058073770375, 125.21415556666668 -9.370481809999994, 125.2142541933333 -9.370627216666662, 125.21425665 -9.370656423333328, 125.21419596137267 -9.370920729407313, 125.21414600501464 -9.37099472960433, 125.21404579705376 -9.371045171448959, 125.21397321333332 -9.371039443333329, 125.21383906666665 -9.371002543333333, 125.2136868 -9.370879630000005, 125.21363729333335 -9.370681733333335, 125.2138467233546 -9.37058073770375)))"
29,"MULTIPOLYGON (((125.20929404297223 -9.370529536380234, 125.20990903929633 -9.371968086875459, 125.20922336049257 -9.37225211837866, 125.20891805299291 -9.371634578831918, 125.2086084810299 -9.37088137271608, 125.20929404297223 -9.370529536380234)))"
30,"MULTIPOLYGON (((125.20686352943713 -9.361688494680362, 125.20718875973115 -9.361305432413355, 125.20760521384163 -9.361682329743195, 125.20756887533743 -9.361974705573246, 125.20745818264966 -9.362111308685538, 125.20733715571387 -9.362153137923977, 125.20686352943713 -9.361688494680362)))"
31,"MULTIPOLYGON (((125.20857338120145 -9.373395964316968, 125.2089629062537 -9.373249252540019, 125.20925349799693 -9.374178326374626, 125.20891241307561 -9.374268218234, 125.20857338120145 -9.373395964316968)))"
32,"MULTIPOLYGON (((125.17786351588164 -9.35959440655578, 125.17772746735187 -9.359556316044067, 125.17776687374582 -9.359755159447554, 125.17799225333334 -9.360053529999993, 125.17812746000001 -9.360150819999994, 125.17835803333335 -9.36015151333333, 125.17867701333333 -9.36006452000001, 125.17867778333336 -9.360062903333336, 125.17917659 -9.359617213333324, 125.17924956666666 -9.359526059999995, 125.17898331779398 -9.359241970791054, 125.17887558168603 -9.359300662181647, 125.17871320235396 -9.359119957769908, 125.1783488739369 -9.359444084747837, 125.17829463333334 -9.359495296666669, 125.17807467610785 -9.359603934920731, 125.17786351588164 -9.35959440655578)))"
