id,rainfall_mm,temperature_celsius,elevation_m,ph,soil_texture,area_ha,slope,latitude,longitude,coastal,riparian,is_predicted
1826,1371,24,397,6.7,clay,0.25,1.8537297456374384,-8.431147628,127.03942167243298,False,False,False
2759,1489,24,357,7.9,clay,1.33,7.9169731833585635,-8.482738255,126.3352830043346,False,False,False
1828,1586,24,257,8.3,loam,2.45,9.108264393781145,-8.572093044,126.87348525411193,False,True,False
1829,1371,23,393,6.7,clay,0.34,1.8447622214204968,-8.433803891,127.0370885799283,False,False,False
1830,1433,23,350,6.8,clay,0.77,2.642305520428217,-8.459478663,127.0742747910642,False,False,False
1831,1493,22,345,6.8,clay,0.74,4.757603757583452,-8.486376702,127.12176362635738,False,False,False
1832,1493,22,344,6.8,clay,0.58,4.982749637298504,-8.486696163,127.1214157250498,False,False,False
1833,1402,24,349,6.8,clay,2.28,2.642656797643712,-8.515162036,127.08658581354644,False,False,False
1837,1371,23,392,6.7,clay,0.74,2.2771189988243647,-8.434480795,127.03727401353942,False,False,False
1838,1371,23,391,6.7,clay,0.63,2.6505043964396013,-8.434782992,127.0395690352741,False,False,False
1839,1385,24,451,7.8,clay,4.94,4.082159291320734,-8.522465556,126.96446006207292,False,False,False
1841,1922,25,359,7.4,clay loam,2.42,10.914585241773157,-8.564594954,126.56460579055116,False,False,False
1842,1371,24,389,6.7,clay,1.01,2.723809171240138,-8.440084915,127.02686672205633,False,False,False
1844,1357,23,373,6.7,clay,0.77,1.4760571997406216,-8.420668822,127.0849977,False,False,False
1845,1479,24,408,6.7,clay,7.47,3.359321914985672,-8.551408913,127.00915712907596,False,False,False
1846,1371,24,402,6.7,clay,0.9,2.6567260323998143,-8.432218276,127.02762850351024,False,False,False
1847,1922,25,339,7.4,clay loam,10.94,12.781970924525815,-8.561663387,126.56527187082592,False,False,False
1848,1357,23,366,6.7,clay,0.64,1.891510935034508,-8.426309339,127.08625719733088,False,False,False
1849,1380,24,369,7.8,clay,2.06,1.6653765098297502,-8.459312083,127.03256950686988,False,False,False
1850,1380,24,380,6.7,clay,1.03,2.25503467540658,-8.450362668,127.0348912319245,False,False,False
1854,1119,25,213,5.6,sandy clay,0.56,19.48901517104158,-8.597570116,125.40066545785056,False,False,False
1857,1608,23,682,5.6,sandy clay,3.31,15.910583765825235,-8.645250603,125.41753343584166,False,False,False
1858,1608,25,323,5.6,sandy clay,4.07,21.06233726943769,-8.609854098,125.44121601278634,False,True,False
1859,1608,24,448,5.6,sandy clay,2.28,15.818531289583794,-8.612716294,125.43484237234604,False,False,False
1861,2009,23,686,5.8,sandy loam,0.19,11.274601802723168,-8.622964932,125.3537214740077,False,False,False
1862,2009,23,714,5.8,sandy loam,0.39,18.734476567758808,-8.624709271,125.35547338527816,False,False,False
1860,2009,23,654,5.8,sandy loam,0.23,24.990357223372264,-8.624826384,125.35609512218052,False,False,False
1864,1342,27,106,5.6,sandy clay,1.74,17.138932634475474,-8.598483532,125.3496695841117,False,False,False
1865,1342,27,73,5.6,sandy clay,0.42,8.204126384698867,-8.59663452,125.34401586980007,True,False,False
2191,2061,26,293,5.6,sandy clay,0.83,10.766403584222786,-8.604926886,125.3484952837648,False,False,False
1869,2094,23,572,5.6,sandy clay,2.67,8.471035270887308,-8.657033379,125.42215642382168,False,False,False
1870,2009,24,412,8.2,sandy loam,1.04,25.78799718360487,-8.614169323,125.36104621282372,False,False,False
1871,2009,25,464,8.2,sandy loam,1.33,25.641047273250123,-8.616827212,125.35714357361596,False,False,False
1872,2009,24,399,8.2,sandy loam,4.86,27.535143446276923,-8.616453203,125.36153984505296,False,True,False
1873,2009,26,208,5.6,sandy clay,0.13,23.291104435199177,-8.607827732,125.35682623457927,False,False,False
1874,2009,26,200,5.6,sandy clay,0.66,24.69947602631014,-8.604934265,125.35669158623053,False,False,False
1875,1301,26,82,8.2,sandy loam,0.13,5.581141088361069,-8.595404131,125.35636428392732,True,True,False
1876,2009,25,480,8.2,sandy loam,0.58,24.387856042265103,-8.614699523,125.3582274921831,False,False,False
1877,2061,26,255,5.6,sandy clay,0.44,19.934715449040333,-8.604541787,125.3469829631376,False,False,False
1878,2061,26,268,5.6,sandy clay,0.5,16.391459785353007,-8.604088636,125.34751851395448,False,False,False
1879,2061,26,191,5.6,sandy clay,1.64,17.67633619660404,-8.601637536,125.34636711214964,False,True,False
1880,2061,26,314,5.6,sandy clay,5.15,17.324187144569343,-8.60668052,125.3464051290075,False,True,False
1881,1342,27,60,5.6,sandy clay,2.2,10.803338641975014,-8.596902133,125.34532797439007,True,False,False
1882,2061,25,597,5.8,sandy loam,0.76,15.354258736023196,-8.617540487,125.34954442435338,False,False,False
1883,2061,26,337,5.6,sandy clay,0.38,11.62975891427647,-8.606987143,125.34899745228404,False,False,False
1885,1608,23,592,5.6,sandy clay,1.65,12.10716547703958,-8.653205226,125.42194843475484,False,False,False
1886,2094,23,573,5.6,sandy clay,2.16,9.819291783797452,-8.659355122,125.42119265198173,False,True,False
1887,2094,23,641,5.6,sandy clay,1.44,12.756573465467875,-8.657630282,125.41772560378652,False,False,False
1891,1608,22,628,7.5,loam,2.28,6.685734299638126,-8.635950928,125.41379704847836,False,False,False
